tmdbid,Lookup ID,URL,Featured Review
168705,168705-bloodrayne,https://www.themoviedb.org/movie/168705-bloodrayne,"This has a great cast, Mr. Blond, Gandhi, Ron Camp, David Herdeg, The Phantom, and Bob with his... well, Meatloaf from Fight Club."
9918,9918-glory-road,https://www.themoviedb.org/movie/9918-glory-road,"Glory Road shares the incredible true story of the determination and bravery of Texas Western's 1966 basketball team, but the script falls short of capturing its full potential."
834,834-underworld-evolution,https://www.themoviedb.org/movie/834-underworld-evolution,Oh Brother!
9286,9286-final-destination-3,https://www.themoviedb.org/movie/9286-final-destination-3,"In short, not a very exciting movie. It was not at all as good as the previous ones. Not that this was very surprising of course since the general consensus on the web seems to be that 1 & 2 are quite good, 3 & 4 not so much while the 5th is supposed to be back in shape."
1544,1544-imagine-me-you,https://www.themoviedb.org/movie/1544-imagine-me-you,That was a great movie.
12096,12096-the-pink-panther,https://www.themoviedb.org/movie/12096-the-pink-panther,"From the beginning I knew a prequel to the PINK PANTHER series would be an abomination. I did not, however, think it would be worse than I expected. I went to see the movie because I am a fan of Steve Martin and his writing. His attempt at either imitating or recreating the Clouseau role (whichever it was) was, in the very least, a failed accomplishment. The beauty of the Sellers ""Clouseau"" was the subtlety that Sellers brought to the character. He was clumsy as opposed to stupid. The real humor in the originals is that Clouseau would solve the case, more or less, by accident through his faults...read the rest."
10263,10263-tamara,https://www.themoviedb.org/movie/10263-tamara,Witch Zombie
9036,9036-eight-below,https://www.themoviedb.org/movie/9036-eight-below,"Not as dark or heart-wrenching as it could've, and perhaps should've, been. With that noted, 'Eight Below' - a remake of 1983's 'Antarctica' - is still a fairly decent survival drama."
9920,9920-ultraviolet,https://www.themoviedb.org/movie/9920-ultraviolet,"Good watch, could watch again, and can recommend."
2207,2207-16-blocks,https://www.themoviedb.org/movie/2207-16-blocks,"Iffy at times, but '16 Blocks' produces a fine enough thriller - one that I can say I enjoyed."
6877,6877-failure-to-launch,https://www.themoviedb.org/movie/6877-failure-to-launch,"A simply OK film, though the last 20/30 minutes or so does drag a tad."
950,950-ice-age-2-the-meltdown,https://www.themoviedb.org/movie/950-ice-age-2-the-meltdown,Just as good as the first. Really funny. All of these movies are good. Tough to do.
